Year Month Day Hour Minute Second V1 V2 I1 I2 P1 P2 SU_MS SU_Stability MS MS_RPM Gen_RPM SU_P_1_target SU_Gen_Start_Counter Relais_state wind_v1 wind_v1_mean wind_v1_cut_out wind_status Battery_full MS_DCDC_PWM Dumpload Short_Break MPPT_MODE MPPT_delta_wind_v1 MPPT_delta_wind_v1_Reason MPPT_DCDC_PWM MPPT_omega_stern MPPT_omega_opt MPPT_kopt*10^6 MPPT_P_2_opt MPPT_delta_P_2 MPPT_delta_Omega Codepoint
2019 04 16 20 52 57 39.850 12.070 Nan -0.171 Nan -2.06 80 0 0 197 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 52 57 39.850 12.070 Nan -0.171 Nan -2.06 80 0 0 279 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 00 39.852 12.070 Nan -0.173 Nan -2.08 90 0 0 249 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 01 39.852 12.070 Nan -0.173 Nan -2.08 90 0 0 259 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 03 39.852 12.070 Nan -0.173 Nan -2.08 100 0 0 188 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 04 39.852 12.070 Nan -0.173 Nan -2.08 100 0 0 129 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 07 39.852 12.070 Nan -0.173 Nan -2.08 110 1 0 16 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 08 39.852 12.070 Nan -0.173 Nan -2.08 110 1 0 16 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 11 38.133 11.967 Nan -0.910 Nan -10.89 120 0 0 112 0 0.00 0 1 2.00 2.00 8.00 2 0 77 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 12 37.237 11.837 Nan -1.800 Nan -21.31 120 0 0 112 0 0.00 0 1 2.00 2.00 8.00 2 0 72 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 13 39.472 11.784 Nan -2.158 Nan -25.43 120 0 0 86 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 14 39.935 11.767 Nan -2.154 Nan -25.35 120 0 0 110 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 15 39.920 11.758 Nan -2.192 Nan -25.77 120 0 0 111 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 17 39.762 11.722 Nan -2.384 Nan -27.94 130 6 0 112 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
