Hour Minute Second RPM v1 RPM_ct wind_ct
19 31 24 21.00 3.60 452 22
19 31 27 23.11 3.45 454 28
19 31 30 24.47 4.39 455 24
19 31 33 25.85 3.76 456 25
19 31 36 26.54 3.92 457 28
19 31 39 28.52 4.39 459 28
19 31 42 29.64 4.39 460 21
19 31 45 31.30 3.29 462 30
19 31 48 32.66 4.70 464 35
19 31 51 33.46 5.48 465 31
19 31 54 36.01 4.86 467 39
19 31 57 37.88 6.11 469 32
19 32 0 39.42 5.01 471 33
19 32 3 41.32 5.17 473 29
19 32 6 42.28 4.54 475 25
19 32 9 43.10 3.92 477 36
19 32 12 45.28 5.64 480 35
19 32 15 47.32 5.48 482 38
19 32 18 49.06 5.95 484 41
19 32 21 52.26 6.42 487 37
19 32 24 55.15 5.80 490 29
19 32 27 56.34 4.54 493 28
19 32 30 56.39 4.39 495 33
19 32 33 57.25 5.17 498 35
19 32 36 58.31 5.48 501 32
19 32 39 59.35 5.01 504 30
19 32 42 59.94 4.70 507 27
19 32 45 60.18 4.23 510 28
19 32 48 60.18 4.39 513 29
19 32 51 60.73 4.54 516 28
19 32 54 60.85 4.39 519 25
19 32 57 61.16 3.92 522 24
19 33 0 61.10 3.76 525 20
19 33 3 61.29 3.13 528 23
19 33 6 61.16 3.60 531 27
19 33 9 61.41 4.23 534 28
19 33 12 62.05 4.39 538 31
19 33 15 62.83 4.86 541 27
19 33 18 63.22 4.23 544 27
19 33 21 63.76 4.23 547 28
19 33 24 63.83 4.39 550 26
19 33 27 64.03 4.07 553 30
19 33 30 64.31 4.70 557 29
19 33 33 64.59 4.54 560 31
19 33 36 65.57 4.86 563 22
19 33 39 65.93 3.45 566 23
19 33 42 66.15 3.60 570 24
19 33 45 66.30 3.76 573 30
19 33 48 67.11 4.70 576 34
19 33 51 67.72 5.33 580 34
19 33 54 68.18 5.33 583 33
19 33 57 68.73 5.17 587 27
19 34 0 68.81 4.23 590 27
19 34 3 69.12 4.23 594 26
19 34 6 69.36 4.07 597 24
19 34 9 69.52 3.76 600 24
19 34 12 69.77 3.76 604 26
19 34 15 69.93 4.07 607 21
19 34 18 70.18 3.29 611 26
19 34 21 70.01 4.07 614 20
19 34 24 70.09 3.13 618 25
19 34 27 70.67 3.92 622 29
19 34 30 70.51 4.54 625 30
19 34 33 71.17 4.70 629 28
19 34 36 71.17 4.39 632 28
